Loc,Cmp,To ship,Customer,order,qty,shipdate,comments,,# of cases,,Entered on sheet,To Finishing,To Shipping
m0,TRUE,3,corp,s51504,3,1/5,-,,,,12/20     8:51AM,1/2     1:29PM,1/2     1:29PM
m0,TRUE,2,corp,s51506,14,1/4,-,,,,12/20     8:49AM,1/2     1:29PM,1/2     1:29PM
m0,TRUE,0,corp,s51518,2,1/2,-,,,,1/2     6:17AM,1/2     1:29PM,1/2     1:29PM
m5,TRUE,9,corp,s51544,50,1/17,-,,,,1/2     6:16AM,1/2     3:22PM,1/2     3:22PM
m9,TRUE,14,bcs,756752,48,12/17,-,,,,12/7     11:44AM,1/2     3:23PM,1/2     3:23PM
m9,TRUE,14,bcs,702418,36,12/17,-,,,,12/7     11:44AM,1/2     3:26PM,1/2     3:26PM
m9,TRUE,14,bcs,702425,14,12/17,-,,,,12/7     11:44AM,1/2     3:26PM,1/2     3:26PM
m9,TRUE,14,bcs,725182,72,12/17,-,,,,12/7     11:44AM,1/2     3:26PM,1/2     3:26PM
m10,TRUE,14,bcs,726659,102,12/17,-,,,,12/7     11:44AM,1/2     3:27PM,1/2     3:27PM
m8,TRUE,15,bcs,764523,156,12/17,-,,,,12/7     11:44AM,1/3     1:39PM,1/3     1:39PM
m8,TRUE,1,corp,s51507,44,1/4,-,,,,12/20     8:50AM,1/3     1:39PM,1/3     1:39PM
m4,TRUE,2,corp,s51155,288,1/6,-,,,,12/20     8:51AM,1/3     3:23PM,1/3     3:23PM
m0,TRUE,0,corp,s51548,24,1/4,-,,,,1/2     11:49AM,1/4     8:47AM,1/4     8:47AM
m2,TRUE,9,camp,686417,48,12/29,-,,,,12/19     1:00PM,1/3     1:42PM,1/4     1:42PM
m2,TRUE,9,camp,687248,48,12/29,-,,,,12/19     1:00PM,1/3     1:42PM,1/4     1:42PM
m6,TRUE,15,camp,668814,144,12/17,-,,,,12/7     9:44AM,1/3     1:47PM,1/4     1:47PM
m10,TRUE,17,bcs,718785,48,12/17,-,,,,12/7     11:44AM,1/4     3:37PM,1/4     3:37PM
m0,TRUE,0,corp,s50841,17,1/5,-,,,,1/3     3:01PM,1/5     7:41AM,1/5     7:41AM
m0,TRUE,4,corp,s51542,15,1/12,-,,,,1/4     5:36AM,1/5     7:41AM,1/5     7:41AM
m0,TRUE,4,corp,s51565,12,1/12,-,,,,1/4     8:43AM,1/5     7:41AM,1/5     7:41AM
m9,TRUE,3,camp,688166,71,1/12,-,,,,1/2     8:10AM,1/4     3:32PM,1/5     3:32PM
m5,TRUE,3,camp,686466,96,1/12,-,,,,1/2     8:10AM,1/4     3:35PM,1/5     3:35PM
m10,TRUE,3,camp,689439,288,1/12,-,,,,1/2     8:10AM,1/4     4:45PM,1/5     4:45PM
m8,TRUE,2,corp,s51546,72,1/11,-,,,,1/4     11:28AM,1/9     12:37PM,1/9     12:37PM
m7,TRUE,2,corp,s51551,48,1/11,-,,,,1/6     8:39AM,1/9     12:39PM,1/9     12:39PM
m7,TRUE,-3,corp,s51577,70,1/5,-,,,,1/4     11:28AM,1/9     12:39PM,1/9     12:39PM
m8,TRUE,1,corp,s51520,26,1/10,-,,,,1/5     10:11AM,1/9     12:43PM,1/9     12:43PM
m7,TRUE,3,corp,s51581,50,1/12,-,,,,1/9     6:40AM,1/9     3:30PM,1/9     3:30PM
m8,TRUE,3,corp,s51556,40,1/13,-,,,,1/6     8:40AM,1/9     3:36PM,1/9     3:36PM
m0,TRUE,3,corp,s51574,4,1/12,-,,,,1/4     4:51PM,1/9     3:39PM,1/9     3:39PM
m0,TRUE,3,corp,s51532,22,1/12,-,,,,1/2     6:22AM,1/9     3:40PM,1/9     3:40PM
m0,TRUE,4,corp,s51588,1,1/17,-,,,,1/10     5:42AM,1/10     7:58AM,1/10     7:58AM
m0,TRUE,0,corp,s51636,1,1/10,-,,,,1/10     5:40AM,1/10     7:58AM,1/10     7:58AM
m0,TRUE,0,corp,s51637,1,1/10,-,,,,1/10     5:40AM,1/10     7:58AM,1/10     7:58AM
m0,TRUE,1,corp,s51578,11,1/11,-,,,,1/5     10:11AM,1/10     7:59AM,1/10     7:59AM
m8,TRUE,2,corp,s51567,18,1/12,-,,,,1/6     8:39AM,1/10     9:46AM,1/10     9:46AM
m8,TRUE,4,corp,S51540,50,1/18,-,,,,1/4     2:41PM,1/11     7:32AM,1/11     7:32AM
m8,TRUE,3,corp,s51583,39,1/17,-,,,,1/10     5:41AM,1/11     7:32AM,1/11     7:32AM
m0,TRUE,-4,corp,s51571,11,1/9,-,,,,1/9     6:39AM,1/11     7:33AM,1/11     7:33AM
m0,TRUE,2,corp,s51573,24,1/16,-,,,,1/9     6:43AM,1/11     7:33AM,1/11     7:33AM
m8,TRUE,1,camp,688291,48,1/19,-,,,,1/9     11:33AM,1/10     7:55AM,1/11     7:55AM
m8,TRUE,1,camp,676965,48,1/19,-,,,,1/9     11:33AM,1/10     9:46AM,1/11     9:46AM
m7,TRUE,1,camp,679198,72,1/19,-,,,,1/9     11:33AM,1/10     11:20AM,1/11     11:20AM
m7,TRUE,1,camp,678640,48,1/19,-,,,,1/9     11:33AM,1/10     11:25AM,1/11     11:25AM
m0,TRUE,4,corp,s51599,40,1/20,-,,,,1/10     5:39AM,1/12     7:28AM,1/12     7:28AM
m0,TRUE,1,corp,s51680,4,1/16,-,,,,1/11     9:35AM,1/12     7:29AM,1/12     7:29AM
m7,TRUE,-3,corp,s51570,133,1/12,-,,,,1/9     6:41AM,1/12     8:12AM,1/12     8:12AM
m8,TRUE,1,corp,s51584,149,1/17,-,,,,1/10     2:43PM,1/12     9:24AM,1/12     9:24AM
m6,TRUE,0,corp,s51580,162,1/16,-,,,,1/10     5:41AM,1/12     2:43PM,1/12     2:43PM
m7,TRUE,-3,corp,s51417,115,1/12,-,,,,1/11     8:54AM,1/12     3:57PM,1/12     3:57PM
m6,TRUE,1,corp,s51575,60,1/17,-,,,,1/6     8:38AM,1/16     6:28AM,1/16     6:28AM
m7,TRUE,1,corp,s51651,58,1/18,-,,,,1/12     8:12AM,1/16     1:50PM,1/16     1:50PM
m8,TRUE,6,corp,s51586,121,1/26,-,,,,1/12     8:12AM,1/16     1:52PM,1/16     1:52PM
m0,TRUE,-3,corp,s51587,69,1/16,-,,,,1/10     5:43AM,1/16     2:54PM,1/16     2:54PM
m0,TRUE,3,corp,s51076,4,1/23,-,,,,1/16     11:50AM,1/17     8:09AM,1/17     8:09AM
m0,TRUE,3,corp,s51639,50,1/23,-,,,,1/16     7:26AM,1/17     8:09AM,1/17     8:09AM
m0,TRUE,2,corp,s51706,1,1/19,-,,,,1/16     11:50AM,1/17     8:09AM,1/17     8:09AM
m9,TRUE,1,bcs,749365,72,1/26,-,,,,1/16     6:45AM,1/17     2:46PM,1/17     2:46PM
m8,TRUE,-6,corp,s51576,676,1/11,-,,,,1/12     11:22AM,1/18     8:05AM,1/18     8:05AM
